title,caracteristicas_pelicula
Godzilla,"When a freighter is viciously attacked in the Pacific Ocean, a team of experts -- including biologist Niko Tatopoulos and scientists Elsie Chapman and Mendel Craven -- concludes that an oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan, destroying everything within its reach. The team chases the monster to Madison Square Garden, where a brutal battle ensues. 130000000 Size does matter. 5.3 1075.0 Science Fiction, Action, Thriller English, Français, 日本語, Pусский, Español"
Bulworth,"A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture. 30000000 Brace yourself. This politician is about to tell the truth! 6.3 66.0 Comedy, Drama English"
Fear and Loathing in Las Vegas,"The hallucinogenic misadventures of sportswriter Raoul Duke and his Samoan lawyer, Dr. Gonzo, on a three-day romp from Los Angeles to Las Vegas. Motoring across the Mojave Desert on the way to Sin City, Duke and his purple haze passenger ingest a cornucopia of drugs ranging from acid to ether. 18500000 Buy the ticket, take the ride. 7.2 1321.0 Adventure, Drama, Comedy English"
The Opposite of Sex,"A 16-year-old girl visits her gay half-brother and ends up seducing his boyfriend, thus wreaking havoc on all of their lives. 5000000 You'll laugh, you'll cry, you'll be offended 5.9 56.0 Comedy, Drama English"
I Got the Hook Up,"Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them out of the back of their van. Trouble arises though, when the phones develop faults. The two friends then not only have to deal with unsatisfied customers but also the FBI. 0 A truckload of cell phones... turns into a boatload of cash! 5.4 8.0 Action, Comedy English"
Almost Heroes,"Two hapless explorers lead an ill-fated 1804 expedition through the Pacific Northwest in a hopeless, doomed effort to reach the Pacific Ocean before Lewis and Clark. 0 Almost History... Almost Legends... Mostly Ridiculous. 5.5 57.0 Action, Adventure, Comedy, Western English"
Hope Floats,"Birdee Pruitt has been humiliated on live television by her best friend, Connie, who's been sleeping with Birdee's husband, Bill. Birdee tries starting over with her daughter, Bernice, by returning to her small Texas hometown, but she's faced with petty old acquaintances who are thrilled to see Birdee unhappy -- except for her friend Justin. As he helps Birdee get back on her feet, love begins to blossom. 0 When life fell apart, love fell into place. 5.8 82.0 Drama, Romance English"
Insomnia,"Detectives Jonas and Erik are called to the midnight sun country of northern Norway to investigate a recent homicide, but their plan to arrest the killer goes awry, and Jonas mistakenly shoots Erik. The suspect escapes, and a frightened Jonas pins Erik's death on the fugitive. Jonas continues to pursue the killer as he seeks to protect himself; however, his mounting guilt and the omnipresent sun plague him with an insomnia that affects his sanity. 0 No peace for the wicked 6.6 55.0 Crime, Drama, Thriller Norsk, svenska"
Little Boy Blue,"Living in rural Texas is a dysfunctional family: an abusive dad, a Vietnam vet with a war wound that's left him impotent; a compliant wife and a son of about 20, two small sons who look a lot like their brother. The dad harbors a secret, and he goes to murderous lengths to keep it hidden. The young man, Jimmy, who has suspicions, but little comes out until a Yankee woman comes to town. 0   7.4 3.0 Drama, Thriller English"
The Ugly,"A female psychologist wants to understand the minds of a confessed serial killer who spent the last five years in a mental hospital because of his state. 0 Murder is in the eye of the beholder. 5.9 14.0 Horror, Thriller English"
A Perfect Murder,"Millionaire industrialist Steven Taylor is a man who has everything but what he craves most: the love and fidelity of his wife. A hugely successful player in the New York financial world, he considers her to be his most treasured acquisition. But she needs more than simply the role of dazzling accessory. 60000000 A powerful husband. An unfaithful wife. A jealous lover. All of them have a motive. Each of them has a plan. 6.3 320.0 Crime, Thriller, Drama العربية, English"
Beyond Silence,"Beyond Silence is about a family and a young girl’s coming of age story. This German film looks into the lives of the deaf and at a story about the love for music. A girl who has always had to translate speech into sign language for her deaf parents yet when her love for playing music grows strong she must decide to continue doing something she cannot share with her parents. 0 About life, love and the sound of snow. 6.5 12.0 Drama Deutsch"
Six Days Seven Nights,"When Quinn, a grouchy pilot living the good life in the South Pacific, agrees to transfer a savvy fashion editor, Robin, to Tahiti, he ends up stranded on a deserted island with her after their plane crashes. The pair avoid each other at first, until they're forced to team up to escape from the island -- and some pirates who want their heads. 70000000 After this week in paradise, they’re going to need a vacation. 5.6 343.0 Action, Adventure, Comedy, Romance English, Deutsch, ภาษาไทย"
Can't Hardly Wait,"It's graduation day at Huntington Hills High, and you know what that means - time to party. And not just any party, either. This one will be a night to remember, as the nerds become studs, the jocks are humiliated, and freshman crushes blossom into grown-up romance. 10000000 Yesterday's history.  Tomorrow's the future.  Tonight's the party. 6.1 122.0 Comedy, Drama, Romance English"
Cousin Bette,"Cousin Bette is a poor and lonely seamstress, who, after the death of her prominent and wealthy sister, tries to ingratiate herself into lives of her brother-in-law, Baron Hulot, and her niece, Hortense Hulot. Failing to do so, she instead finds solace and company in a handsome young sculptor she saves from starvation. But the aspiring artist soon finds love in the arms of another woman, Hortense, leaving Bette a bitter spinster. Bette plots to take revenge on the family who turned her away and stole her only love. With the help of famed courtesan Jenny Cadine she slowly destroys the lives of those who have scorned her. Written by CherylC894@aol.com 0 Who knew deception, treachery and revenge could be this much fun... 5.9 10.0 Comedy, Drama, Romance English"
High Art,"A young female intern at a small magazine company becomes involved with a drug-addicted lesbian photographer, both of whom seek to exploit each other for their respective careers, while slowly falling in love with each other. 0 a story of ambition, sacrifice, seduction and other career moves. 6.3 32.0 Drama, Romance English"
The Land Girls,"During World War II, the organisation ""The Women's Land Army"" recruited women to work on British farms while the men were off to war. Three such ""land girls"" of different social backgrounds - quiet Stella, young hairdresser Prue, and Cambridge graduate Ag - become best friends in spite of their different backgrounds. 0 The story of three young women and the events that would change their lives... The friendships that would stay with them forever... and the loves that would change their hearts. 7.0 3.0 Drama, Romance, War English"
Passion in the Desert,"Young French officer Augustin Robert escorts artist Jean-Michel Venture de Paradis to Egypt during Napoleon's Egyptian campaign. Napoleon sent de Paradis to record Egypt's great monuments and temples that are destroyed by French soldiers in acts of barbarism. During combat, Augustin and Jean-Michel are separated from their regiment, and they start wandering through the desert fighting for their life. In one of the canyons Augustin meets a leopard he names Simoom and a strange bond between them appears. 0 What nature divides, the spirit unites. 5.8 5.0 Drama, Adventure English"
Children of Heaven,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes, Ali's. School awaits... 180000 A Little Secret...Their Biggest Adventure! 7.8 113.0 Drama, Comedy, Family فارسی"
Dear Jesse,"In 1996, at age 30, native son Tim Kirkman returns to North Carolina to explore the parallels and differences between himself and Jesse Helms: they're from the same town and college, with media interests, from families blessed by adoptions, Baptists by upbringing. 0   0.0 0.0  "
Dream for an Insomniac,"A girl with insomnia who works in a coffee house has impossibly high standards for her love and fears she will never meet a worthy man. Then in walks a new employee and they click - until she discovers he has a girlfriend. Undaunted, she moves to L.A. with a friend sure that he will dump the girlfriend and follow her. She puts all her faith in fate and hopes for the best. 0 A dreamer who couldn't sleep. An author who couldn't write. A friend who couldn't help but help. 6.1 12.0 Romance, Comedy, Drama English"
Hav Plenty,"Lee Plenty is an almost broke would-be novelist and Havilland Savage is rich and very beautiful woman and his friend. When she invites him to her home for New Year's Eve, they start to build up a romance. 0   0.0 0.0 Action, Comedy, Romance, Science Fiction, Thriller English"
Henry Fool,"An egocentric bum transforms the lives of a shy New Jersey garbageman and his sister. 0   6.9 29.0 Comedy, Drama English"
Marie from the Bay of Angels,"A random montage of disturbing images tell a story about one summer in the lives of two teenagers who somehow find love within each other, Orso and Marie. After they realize this, they run off to a hidden island off the coast of France where they can not be bothered until Orso's hunger for danger and crime become too much for him, forcing him to return to his normal life... 0 A story of haunted youth. 4.0 3.0 Drama, Romance Français"
Mr. Jealousy,"After his first date at age 15 ended with the girl making out with another man at a party, aspiring writer Lester Grimm has treated all his girlfriends with jealousy and suspicion. While dating Ramona Ray, paranoia gets the best of him when he discovers that her most recent ex is successful novelist Dashiell Frank. Lester begins attending the same group therapy sessions as Dashiell to learn about Ramona's past with him. 0   6.1 10.0 Comedy, Romance English"
Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang. 90000000 This time, the princess saves the prince. 7.6 2089.0 Animation, Family, Adventure English, 普通话"
Resurrection Man,"Belfast, in 1970s. Victor Kelly is a young protestant man who hates the Catholics so much that one night he begins to brutally murder them. A reporter soon tries to uncover the murder and obtained prestige for himself, while Victor sinks deeper into madness. 0 Get right to the heart of the fear 7.0 2.0 Thriller, Crime, Drama English"
The X Files,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth. 66000000 Fight the Future 6.6 494.0 Mystery, Science Fiction, Thriller English"
I Went Down,"Fresh out of prison, Git rescues a former best friend (now living with Git's girlfriend) from a beating at the hands of loan sharks. He's now in trouble with the mob boss, Tom French, who sends Git to Cork with another debtor, Bunny Kelly, to find a guy named Frank Grogan, and take him to a man with a friendly face at a shack across a bog. It's a tougher assignment than it seems: Git's a novice, Bunny's prone to rash acts, Frank doesn't want to be found (and once he's found, he has no money), and maybe Tom's planning to murder Frank, which puts Git in a moral dilemma. Then, there's the long-ago disappearance of Sonny Mulligan. What's a decent and stand-up lad to do? 0 One doesn't count, the other can't. Dis-organised crime. 6.5 2.0 Action, Comedy, Crime English"
Doctor Dolittle,"A successful physician and devoted family man, John Dolittle (Eddie Murphy) seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down! 71000000 He doesn't just talk to the animals! 5.4 705.0 Comedy, Family, Fantasy English"
Out of Sight,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law. Variety hails Out of Sight as ""a sly, sexy, vastly entertaining film."" 48000000 Opposites attract. 6.5 338.0 Romance, Comedy, Crime English"
Picnic at Hanging Rock,"In the early 1900s, Miranda attends a girls boarding school in Australia. One Valentine's Day, the school's typically strict headmistress treats the girls to a picnic field trip to an unusual but scenic volcanic formation called Hanging Rock. Despite rules against it, Miranda and several other girls venture off. It's not until the end of the day that the faculty realizes the girls and one of the teachers have disappeared mysteriously. 0 On St. Valentine's Day in 1900 a party of schoolgirls set out to picnic at Hanging Rock ... Some were never to return. 7.1 156.0 Thriller, Drama, Mystery English, Français"
Smoke Signals,"Young Indian man Thomas is a nerd in his reservation, wearing oversize glasses and telling everyone stories no-one wants to hear. His parents died in a fire in 1976, and Thomas was saved by Arnold. Arnold soon left his family, and Victor hasn't seen his father for 10 years. When Victor hears Arnold has died, Thomas offers him funding for the trip to get Arnold's remains 0   6.7 25.0 Drama, Comedy English"
Voyage to the Beginning of the World,"Manoel is aging film director who travels with the film crew through Portugal in search of the origins of Afonso, a famous French actor whose father emigrated from Portugal to France and in process remembers his own youth. 0   6.0 5.0 Drama, Foreign Français, Português"
Buffalo '66,"Billy is released after five years in prison. In the next moment, he kidnaps teenage student Layla and visits his parents with her, pretending she is his girlfriend and they will soon marry. 1500000 Billy Brown just got out of jail. Now he's going to serve some real time. He's going home. 7.2 172.0 Romance, Comedy, Crime, Drama English"
Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise. 140000000 The Earth's Darkest Day Will Be Man's Finest Hour 6.5 2540.0 Action, Thriller, Science Fiction, Adventure English, Pусский"
Lethal Weapon 4,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang. 140000000 The faces you love. The action you expect. 6.3 782.0 Action, Adventure, Comedy, Crime, Thriller English, 广州话 / 廣州話, 普通话"
Madeline,"In an old house in Paris, that was covered in vines, twelve little girls lived in two straight lines. The smallest one in rain or shine was the fearless Madeline, and she is the heroine of this family comedy based on Ludwig Bemelmans' classic book series about a Parisian schoolgirl and her classmates. 0 In an old house in Paris, that was covered with vines... 5.1 46.0 Comedy, Drama, Family English"
Small Soldiers,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously. 40000000 The few, the proud, and the small. 6.2 522.0 Comedy, Adventure, Fantasy, Science Fiction, Action English, Français, Magyar, Español"
Pi,"The debut film from Darren Aronofsky in which a mathematical genius Maximilian Cohen discovers a link in the connection between numbers and reality and thus believes he can predict the future. 60000 There will be no order, only chaos 7.1 600.0 Mystery, Drama, Thriller English"
Whatever,"A teen faces her impending adulthood in the carefree sex and drug revolution years of the early 80's prior to fears of AIDS. She lives with her bitter, divorced mother and her sadistic kid brother. Looking forward to a life based on her passion for art, she nevertheless gets in with the partying crowd which causes her to miss deadlines and poor grades which jeopardizes her future. Ultimately she ends up losing her virginity to an older artist wanna-be who she has had a longstanding crush on. 0 1981. In an era of just say no, they said yes. 8.3 2.0 Drama English"
There's Something About Mary,"Having never fully recovered from a prom date that became a total disaster, a man finally gets a chance to reunite with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her. 23000000 Love Is In The Hair. 6.5 1616.0 Romance, Comedy English"
Plan 9 from Outer Space,"In California, an old man (Bela Lugosi) grieves the loss of his wife (Vampira) and on the next day he also dies. However, the space soldier Eros and her mate Tanna use an electric device to resurrect them both and the strong Inspector Clay (Tor Johnson) that was murdered by the couple. Their intention is not to conquest Earth but to stop mankind from developing the powerful bomb ""Solobonite"" that would threaten the universe. When the population of Hollywood and Washington DC sees flying saucers on the sky, a colonel, a police lieutenant, a commercial pilot, his wife and a policeman try to stop the aliens. 60000 Unspeakable Horrors From Outer Space Paralyze The Living And Resurrect The Dead! 4.4 137.0 Science Fiction, Horror English"
Wings,"Two young men, one rich, one middle class, both in love with the same woman (Jobyna Ralston), become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl (Clara Bow) who's the love struck lifelong next door neighbor of one of them, pines away. 2000000 Youth, hitting the clouds! Laughing at danger! Fighting, loving, dodging death! That's 7.0 59.0 Action, Drama, Romance, War English"
The Broadway Melody,"Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie 379000 The pulsating drama of Broadway's bared heart speaks and sings with a voice to stir your soul! 5.0 20.0 Drama, Music, Romance English"
All Quiet on the Western Front,"A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose. 1250000 They left for war as boys never to return as men. 7.5 166.0 Drama, War English, Français, Deutsch, Latin"
Cimarron,"When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and other absences, his wife Sabra must learn to take care of herself and soon becomes prominent in her own right. 0 Terrific as all creation! 5.1 22.0 Drama, Western English, Français"
Grand Hotel,"Guests at a posh Berlin hotel struggle through worry, scandal, and heartache. 700000 Thank The Stars For A Great Entertainment ! 6.5 67.0 Drama, Romance English"
Cavalcade,"A cavalcade of English life from New Year's Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic and the Great War. 1180280 THE PICTURE OF THE GENERATION! 4.6 17.0 Drama English"
Mutiny on the Bounty,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors. 1950000 Clark Gable as the daring mutineer in the screen's most exciting adventure story! 7.1 72.0 Adventure, Drama, History, Romance English, Magyar, "
The Great Ziegfeld,"Lavish biography of Flo Ziegfeld, the producer who became Broadway's biggest starmaker. 0 The Last Word In Entertainment! 6.2 19.0 Drama, Music, Romance English"
The Life of Emile Zola,Bio epic of the famous writer. 0 He'll Hold You In Silence As Deep As Your Emotions ! 6.6 19.0 Drama English
You Can't Take It With You,"Alice, the only relatively normal member of the eccentric Sycamore family, falls in love with Tony Kirby. His wealthy banker father, Anthony P. Kirby, and his snobbish mother, strongly disapprove of the match. When the Kirbys are invited to dinner to become better acquainted with their future in-laws, things do not turn out the way Alice had hoped. 1644736 YOU'LL LOVE THEM ALL FOR GIVING YOU THE SWELLEST TIME YOU'VE EVER HAD! 7.2 79.0 Comedy, Romance English, Pусский"
How Green Was My Valley,"At the turn of the century in a Welsh mining village, the Morgans (he stern, she gentle) raise coal-mining sons and hope their youngest will find a better life. Lots of atmosphere, very sentimental view of pre-union miners' lives. The film is based on the 1939 Richard Llewellyn novel of the same name. 1250000 Millions Have Read This Great Novel... Millions more will see an even greater picture! 6.9 76.0 Drama English, Cymraeg"
Mrs. Miniver,"The Minivers, an English ""middle-class"" family experience life in the first months of World War II. 1344000 ""Mrs. Miniver"" is more than a picture -- It's dramatic. It's tender. It's human. It's real. 6.7 47.0 Drama, Romance, War English, Deutsch"
Going My Way,"Youthful Father Chuck O'Malley (Bing Crosby) led a colourful life of sports, song, and romance before joining the Roman Catholic clergy. After being appointed to a run-down New York parish , O'Malley's worldly knowledge helps him connect with a gang of boys looking for direction, eventually winning over the aging, conventional Parish priest (Barry Fitzgerald). 0 When the St. Louis Browns lost Bing, the Cardinal got a good singer! 6.9 37.0 Drama, Comedy, Music English"
The Lost Weekend,"Don Birnam, a long-time alcoholic, has been sober for ten days and appears to be over the worst... but his craving has just become more insidious. Evading a country weekend planned by his brother and girlfriend, he begins a four-day bender that just might be his last - one way or another. 1250000 The screen dares to open the strange and savage pages of a shocking bestseller! 7.4 115.0 Drama English"
The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare. Captain Fred Derry is returning to a loveless marriage; Sergeant Al Stephenson is a stranger to a family that's grown up without him; and young sailor Homer Parrish is tormented by the loss of his hands. Can these three men find the courage to rebuild their world? Or are the best years of their lives a thing of the past? 2100000 Three wonderful loves in the best picture of the year! 7.6 148.0 Drama, History, Romance English"
Gentleman's Agreement,"A magazine writer poses as a Jew to expose anti-Semitism. 2000000   6.8 48.0 Drama, Romance English"
All the King's Men,All The King's Men is the story of the rise of politician Willie Stark from a rural county seat to the governor's mansion. 0 He Might Have Been A Pretty Good Guy … If Too Much Power … And Women … Hadn’t Gone To his Head! 6.3 51.0 Drama English
The Greatest Show on Earth,"To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground. 4000000   6.6 51.0 Action, Drama, Romance English, Deutsch"
From Here to Eternity,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love. 1650000 Pouring out of impassioned pages...brawling their way to greatness on the screen! 7.2 137.0 War, Drama, Romance English"
On the Waterfront,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers. 910000 The Man Lived by the Jungle Law of the Docks! 8.0 368.0 Crime, Drama English"
Marty,"Marty, a butcher who lives in the Bronx with his mother is unmarried at 34. Good-natured but socially awkward he faces constant badgering from family and friends to get married but has reluctantly resigned himself to bachelorhood. Marty meets Clara, an unattractive school teacher, realising their emotional connection, he promises to call but family and friends try to convince him not to. 343000 EVERYBODY'S RAVING ABOUT 7.2 75.0 Drama, Romance English"
West Side Story,"In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to ""own"" the neighborhood streets. Tensions are high between the gangs but two kids, one from each rival gang, fall in love leading to tragedy. 6000000 The screen achieves one of the great entertainments in the history of motion pictures 7.0 399.0 Crime, Drama, Music English"
Tom Jones,"Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love? 1000000 Tom Jones! . . . loves and loves and loves and loves . . . 6.1 40.0 Adventure, Comedy, History, Romance English"
A Man for All Seasons,"A Man for All Seasons is the filmed version of the life of Thomas More. An English man comes to Sir Thomas More to ask if he can divorce his wife since King Henry VIII has made it illegal. Sir Thomas More stands up in opposition to the King even though he knows he’s risking his own life. An award winning film from 1966. 3900000 ...a motion picture for all times! 7.5 90.0 Drama, History English, Français, Latin, Español"
In the Heat of the Night,"An African American detective is asked to investigate a murder in a racist southern town. 2000000 They got a murder on their hands.  They don't know what to do with it. 7.5 207.0 Crime, Drama, Mystery, Thriller English"
Oliver!,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin. 10000000 Much Much More Than a Musical! 7.0 106.0 Drama, Family, Music English"
Midnight Cowboy,"A naive male prostitute and his sickly friend struggle to survive on the streets of New York City. 3600000 Whatever you hear about Midnight Cowboy is true. 7.4 307.0 Drama English, Italiano"
The French Connection,"Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation. 1800000 There are no rules and no holds barred when Popeye cuts loose! 7.4 435.0 Action, Crime, Thriller English, Français"
Rocky,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break. 1000000 His whole life was a million-to-one shot. 7.5 1843.0 Drama English"
Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy. 8000000 There are three sides to this love story 7.4 483.0 Drama English"
Ordinary People,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together. 6000000 Everything is in its proper place...except the past. 7.4 147.0 Drama English"
Chariots of Fire,"The true story of British athletes preparing for and competing in the 1924 Summer Olympics. 5500000 This is the story of two men who run, not to run, but to prove something to the world. They will sacrifice anything to achieve their goals... except their honor. 6.9 213.0 Drama, History English, Français"
Terms of Endearment,"Aurora and Emma are mother and daughter who march to different drummers. Beginning with Emma's marriage, Aurora shows how difficult and loving she can be. The movie covers several years of their lives as each finds different reasons to go on living and find joy. Aurora's interludes with Garrett Breedlove, retired astronaut and next door neighbor are quite striking. 8000000   6.9 178.0 Drama, Comedy English"
Out of Africa,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937. 31000000 Based on a true story. 7.0 290.0 Drama English, Kiswahili"
The Last Emperor,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic. 23000000 He was the Lord of Ten Thousand Years, the absolute monarch of China. He was born to rule a world of ancient tradition. Nothing prepared him for our world of change. 7.4 362.0 Drama, History Český, English, 日本語, 普通话, Pусский"
Rain Man,"Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country. 25000000 A journey through understanding and fellowship. 7.6 1762.0 Drama Italiano, English"
Driving Miss Daisy,"The story of an old Jewish widow named Daisy Werthan and her relationship with her colored chauffeur Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned upon. Oscar winning tragic comedy with a star-studded cast and based on a play of the same name by Alfred Uhry. 7500000 The funny, touching and totally irresistible story of a working relationship that became a 25-year friendship. 7.0 358.0 Comedy, Drama English, Magyar, Polski"
Take the Money and Run,"The life and times of Virgil Starkwell, inept bank robber. 1500000 Crime lives! 7.0 177.0 Comedy, Crime , English"
Klute,"This acclaimed thriller stars Jane Fonda as Bree Daniel, a New York City call girl who becomes enmeshed in an investigation into the disappearance of a business executive. Detective John Klute is hired to follow Daniel, and eventually begins a romance with her, but it appears that he hasn't been the only person on her trail. When it becomes clear that Daniel is being targeted, it's up to her and Klute to figure out who is after her before it's too late. 2500000 You'd never take her for a call girl. You'd never take him for a cop. 6.5 88.0 Mystery English"
Repo Man,"A down and out young punk gets a job working with a seasoned repo man, but what awaits him in his new career is a series of outlandish adventures revolving around aliens, the CIA, and a most wanted '64 Chevy. 1500000 It’s 4 a.m. Do you know where your car is? 6.7 146.0 Comedy, Crime, Science Fiction, Thriller English"
Metropolitan,"A sparkling comedic chronicle of a middle-class young man’s romantic misadventures among New York City’s debutante society. Stillman’s deft, literate dialogue and hilariously highbrow observations earned this debut film an Academy Award nomination for Best Original Screenplay. Alongside the wit and sophistication, though, lies a tender tale of adolescent anxiety. 225000 Finally... A film about the downwardly mobile. 7.0 39.0 Comedy, Drama English"
Labyrinth,"Frustrated with babysitting on yet another weekend night, Sarah - a teenager with an active imagination - summons the Goblins from her favourite book, ""Labyrinth"", to take the baby stepbrother away. When little Toby actually disappears, Sarah must follow him into the world of the fairytale to rescue him from the Goblin King! 25000000 Where everything seems possible and nothing is what it seems. 7.1 618.0 Adventure, Family, Fantasy English"
The Breakfast Club,"Five high school students, all different stereotypes, meet in detention, where they pour their hearts out to each other, and discover how they have a lot more in common than they thought. 1000000 They only met once, but it changed their lives forever. 7.8 2189.0 Comedy, Drama English"
A Nightmare on Elm Street Part 2: Freddy's Revenge,"A new family moves into the house on Elm Street, and before long, the kids are again having nightmares about deceased child murderer Freddy Krueger. This time, Freddy attempts to possess a teenage boy to cause havoc in the real world, and can only be overcome if the boy's sweetheart can master her fear. 3000000 Someone is coming back to Elm Street! 5.7 367.0 Horror English"
A Nightmare on Elm Street 3: Dream Warriors,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide. 5000000 If you think you're ready for Freddy, think again! 6.5 363.0 Horror, Thriller English"
A Nightmare on Elm Street 4: The Dream Master,"Dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills the remainder of the Elm Street kids. However, Kristen, who can draw others into her dreams, wills her special ability to her friend Alice. Alice soon realizes that Freddy is taking advantage of that unknown power to pull a new group of children into his foul domain. 7000000 Terror beyond your wildest dreams. 5.8 287.0 Horror, Thriller English"
